Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Gender,State,City,Region,Customer_Segment,Category,Product,Brand,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Sales,Cost,Profit,Shipping_Cost,Payment_Method,Sales_Channel,Order_Status,Returned,Delivery_Days,Customer_Rating
ORD100001,2024-08-16,CUST1224,Customer 1224,32,Other,Karnataka,Bengaluru,South,Home Office,Sports,Cricket Bat,Yonex,2,11126.13,5,1112.61,21139.65,15746.13,5393.52,36.99,Wallet,Social Media,Delivered,No,1,5
ORD100002,2025-12-15,CUST1095,Customer 1095,42,Male,Uttar Pradesh,Greater Noida,Central,Corporate,Fashion,Watch,H&M,4,4280.93,10,1712.37,15411.35,9571.27,5840.08,197.97,UPI,Social Media,Delivered,No,6,3
ORD100003,2025-10-05,CUST1678,Customer 1678,32,Female,Delhi,Delhi,North,Corporate,Grocery,Wheat Flour,MDH,5,2219.36,20,2219.36,8877.44,6573.98,2303.46,185.01,Debit Card,Social Media,Delivered,No,2,2
ORD100004,2024-12-29,CUST1251,Customer 1251,28,Female,Haryana,Panipat,East,Home Office,Sports,Cycling Helmet,Adidas,2,10151.58,5,1015.16,19288,14485.54,4802.46,67.65,Wallet,Mobile App,Returned,Yes,0,4
ORD100005,2024-02-02,CUST1323,Customer 1323,31,Other,Uttar Pradesh,Kanpur,West,Home Office,Sports,Badminton Racket,Decathlon,3,6197.12,5,929.57,17661.79,10943.67,6718.12,237.44,Cash on Delivery,Mobile App,Returned,Yes,0,4
ORD100006,2024-09-26,CUST1522,Customer 1522,49,Male,Gujarat,Vadodara,South,Home Office,Home & Kitchen,Bedsheet,Philips,5,10853.74,25,13567.17,40701.53,27248,13453.53,249.41,Credit Card,Social Media,Delivered,No,1,1
ORD100007,2025-06-25,CUST1769,Customer 1769,35,Other,Telangana,Warangal,East,Consumer,Grocery,Wheat Flour,MDH,3,2429.14,0,0,7287.42,5644.06,1643.36,55.2,Debit Card,Social Media,Cancelled,No,0,0
ORD100008,2024-07-01,CUST1157,Customer 1157,41,Male,Karnataka,Mangalore,East,Corporate,Fashion,Watch,Levis,5,10977.75,15,8233.31,46655.44,38619.08,8036.36,141.69,UPI,Website,Delivered,No,1,5
ORD100009,2025-08-03,CUST1785,Customer 1785,26,Male,Uttar Pradesh,Kanpur,West,Home Office,Home & Kitchen,Table,Philips,1,2369.92,30,710.98,1658.94,1359.15,299.79,245.16,Credit Card,Marketplace,Cancelled,No,0,0
ORD100010,2025-12-07,CUST1530,Customer 1530,46,Male,Gujarat,Vadodara,North,Corporate,Grocery,Spices,Bru,2,1796.72,25,898.36,2695.08,2367.36,327.72,172.97,UPI,Mobile App,Delivered,No,4,2
ORD100011,2024-08-22,CUST1498,Customer 1498,31,Other,Delhi,New Delhi,Central,Home Office,Grocery,Tea,Tata,1,2268.28,20,453.66,1814.62,1040.47,774.15,82.36,Cash on Delivery,Mobile App,Returned,Yes,0,2
ORD100012,2024-04-09,CUST1670,Customer 1670,59,Male,Maharashtra,Mumbai,West,Home Office,Beauty,Face Cream,Dove,4,2222.64,25,2222.64,6667.92,4695,1972.92,190.4,Debit Card,Website,Returned,Yes,0,1
ORD100013,2024-05-23,CUST1564,Customer 1564,24,Male,Gujarat,Surat,South,Consumer,Fashion,Jacket,Adidas,4,2446.81,30,2936.17,6851.07,4332.86,2518.21,233.12,Cash on Delivery,Social Media,Delivered,No,1,1
ORD100014,2024-06-17,CUST1293,Customer 1293,45,Other,Telangana,Hyderabad,South,Corporate,Beauty,Shampoo,The Body Shop,4,162.61,25,162.61,487.83,311,176.83,202.5,Credit Card,Website,Delivered,No,8,2
ORD100015,2025-08-21,CUST1071,Customer 1071,56,Male,Uttar Pradesh,Lucknow,North,Home Office,Grocery,Rice,Britannia,4,1281.98,10,512.79,4615.13,2624.95,1990.18,141.72,Credit Card,Website,Delivered,No,4,4
ORD100016,2025-06-19,CUST1406,Customer 1406,26,Other,Rajasthan,Jodhpur,East,Consumer,Grocery,Wheat Flour,MDH,3,2340.03,10,702.01,6318.08,4871.3,1446.78,99.12,UPI,Social Media,Delivered,No,5,4
ORD100017,2025-06-02,CUST1292,Customer 1292,28,Female,Gujarat,Ahmedabad,Central,Consumer,Grocery,Wheat Flour,Aashirvaad,3,374.52,20,224.71,898.85,755.65,143.2,223.44,Wallet,Marketplace,Delivered,No,5,5
ORD100018,2024-04-19,CUST1704,Customer 1704,58,Female,Karnataka,Bengaluru,North,Consumer,Sports,Cricket Bat,Nike,5,2585.08,15,1938.81,10986.59,8235.48,2751.11,187.87,Wallet,Social Media,Delivered,No,8,3
